Website Name,Breach Date,Date Added to HIBP,Compromised Accounts,Compromised Data
Bitcoin Talk,22 May 2015,27 March 2017,"501,407","Dates of birth, Email addresses, Genders, IP addresses, Passwords, Security questions and answers, Usernames, Website activity"
Bitly,8 May 2014,6 October 2017,"9,313,136","Email addresses, Passwords, Usernames"
BitTorrent,1 January 2016,8 June 2016,"34,235","Email addresses, IP addresses, Passwords, Usernames"
Black Hat World,23 June 2014,3 November 2015,"777,387","Dates of birth, Email addresses, Instant messenger identities, IP addresses, Passwords, Usernames, Website activity"
BlackBerry Fans,6 May 2022,16 May 2022,"174,168","Email addresses, IP addresses, Passwords, Usernames"
BlackSpigotMC,14 July 2019,17 July 2019,"140,029","Device information, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Usernames"
BlankMediaGames,28 December 2018,2 January 2019,"7,633,234","Browser user agent details, Email addresses, IP addresses, Passwords, Purchases, Usernames, Website activity"
Bolt,1 March 2017,24 November 2017,"995,274","Email addresses, IP addresses, Passwords, Usernames"
Bombuj.eu,7 December 2018,10 December 2018,"575,437","Email addresses, Passwords"
Bonobos,14 August 2020,31 January 2021,"2,811,929","Email addresses, Historical passwords, IP addresses, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses, Purchases"
Bookchor,28 January 2021,3 July 2022,"498,297","Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Phone numbers, Social media profiles"
Bookmate,8 July 2018,22 March 2019,"3,830,916","Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords, Usernames"
Bot of Legends,13 November 2014,27 December 2016,"238,373","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Bourse des Vols,12 January 2021,3 July 2022,"1,460,130","Dates of birth, Email addresses, Flights taken, IP addresses, Names, Phone numbers, Physical addresses, Purchases"
Boxee,29 March 2014,30 March 2014,"158,093","Dates of birth, Email addresses, Geographic locations, Historical passwords, Instant messenger identities, IP addresses, Passwords, Private messages, User website URLs, Usernames"
Brand New Tube,14 August 2022,8 September 2022,"349,627","Email addresses, Genders, IP addresses, Passwords, Private messages, Usernames"
Brazzers,1 April 2013,5 September 2016,"790,724","Email addresses, Passwords, Usernames"
BreachForums Clone,17 June 2023,25 June 2023,"4,204","Email addresses, IP addresses, Passwords, Usernames"
BTC-Alpha,2 November 2021,27 January 2022,"362,426","Email addresses, IP addresses, Passwords, Usernames"
BTC-E,1 October 2014,12 March 2017,"568,340","Account balances, Email addresses, IP addresses, Passwords, Usernames, Website activity"
BtoBet,26 December 2019,11 January 2020,"444,241","Dates of birth, Email addresses, Financial transactions, Geographic locations, IP addresses, Names, Usernames"
Bukalapak,23 October 2017,18 April 2019,"13,369,666","Email addresses, IP addresses, Names, Passwords, Usernames"
Bulgarian National Revenue Agency,15 July 2019,18 July 2019,"471,167","Email addresses, Names, Phone numbers, Physical addresses, Taxation records"
Business Acumen Magazine,25 April 2014,11 May 2014,"26,596","Email addresses, Names, Passwords, Usernames, Website activity"
CafeMom,10 April 2014,9 November 2017,"2,628,148","Email addresses, Passwords"
CafePress,20 February 2019,5 August 2019,"23,205,290","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Cannabis.com,5 February 2014,1 June 2014,"227,746","Dates of birth, Email addresses, Geographic locations, Historical passwords, Instant messenger identities, IP addresses, Passwords, Private messages, Usernames, Website activity"
Canva,24 May 2019,9 August 2019,"137,272,116","Email addresses, Geographic locations, Names, Passwords, Usernames"
Capital Economics,12 December 2020,4 July 2022,"263,829","Email addresses, Employers, Job titles, Names, Phone numbers, Physical addresses"
Carding Mafia (December 2021),28 December 2021,16 January 2022,"303,877","Email addresses, IP addresses, Passwords, Usernames"
Carding Mafia (March 2021),18 March 2021,23 March 2021,"297,744","Email addresses, IP addresses, Passwords, Usernames"
CashCrate,17 November 2016,20 April 2018,"6,844,490","Email addresses, Names, Passwords, Physical addresses"
Catho,1 March 2020,18 August 2020,"1,173,012","Email addresses, Names, Passwords, Usernames"
CD Projekt RED,1 March 2016,31 January 2017,"1,871,373","Email addresses, Passwords, Usernames"
CDEK,9 March 2022,17 March 2022,"19,218,203","Email addresses, Names, Phone numbers"
Chatbooks,26 March 2020,29 July 2020,"2,520,441","Email addresses, Names, Passwords, Phone numbers, Social media profiles"
CheapAssGamer.com,1 July 2015,8 November 2016,"444,767","Email addresses, IP addresses, Passwords, Usernames"
Chegg,28 April 2018,16 August 2019,"39,721,127","Email addresses, Names, Passwords, Usernames"
Chowbus,5 October 2020,6 October 2020,"444,224","Email addresses, Names, Phone numbers, Physical addresses"
Cit0day,4 November 2020,19 November 2020,"226,883,414","Email addresses, Passwords"
CityBee,5 February 2021,17 February 2021,"110,156","Email addresses, Government issued IDs, Names, Passwords"
CityJerks,27 February 2023,27 April 2023,"177,554","Bios, Dates of birth, Email addresses, Geographic locations, IP addresses, Passwords, Private messages, Profile photos, Sexual orientations, Usernames"
Civil Online,10 July 2011,7 November 2016,"7,830,195","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Clash of Kings,14 July 2016,27 July 2019,"1,604,957","Email addresses, IP addresses, Passwords, Usernames"
ClearVoice Surveys,23 August 2015,23 April 2021,"15,074,786","Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
ClixSense,4 September 2016,11 September 2016,"2,424,784","Account balances, Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Payment histories, Payment methods, Physical addresses, Usernames, Website activity"
CloudPets,1 January 2017,27 February 2017,"583,503","Email addresses, Family members' names, Passwords"
Club Penguin Rewritten (January 2018),21 January 2018,23 April 2019,"1,688,176","Email addresses, IP addresses, Passwords, Usernames"
Club Penguin Rewritten (July 2019),27 July 2019,30 July 2019,"4,007,909","Email addresses, IP addresses, Passwords, Usernames"
Coachella,22 February 2017,27 June 2017,"599,802","Email addresses, IP addresses, Passwords, Usernames"
Coinmama,3 August 2017,30 August 2019,"478,824","Email addresses, Passwords, Usernames"
CoinMarketCap,12 October 2021,22 October 2021,"3,117,548",Email addresses
CoinTracker,1 December 2022,12 December 2022,"1,557,153","Email addresses, Partial phone numbers"
Collection #1,7 January 2019,16 January 2019,"772,904,991","Email addresses, Passwords"
Comcast,8 November 2015,8 February 2016,"616,882","Email addresses, Passwords, Physical addresses"
COMELEC (Philippines Voters),27 March 2016,14 April 2016,"228,605","Biometric data, Dates of birth, Email addresses, Family members' names, Genders, Job titles, Marital statuses, Names, Passport numbers, Phone numbers, Physical addresses, Physical attributes"
Convex,1 February 2023,26 February 2023,"150,129","Email addresses, IP addresses, Names, Phone numbers"
Coupon Mom / Armor Games,8 February 2014,9 November 2017,"11,010,525","Email addresses, Passwords"
Covve,20 February 2020,15 May 2020,"22,802,117","Email addresses, Job titles, Names, Phone numbers, Physical addresses, Social media profiles"
Crack Community,9 September 2013,3 February 2015,"19,210","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Cracked.to,21 July 2019,12 August 2019,"749,161","Email addresses, IP addresses, Passwords, Private messages, Usernames"
CrackingForum,1 July 2016,10 December 2017,"660,305","Email addresses, IP addresses, Passwords, Usernames"
Creative,1 May 2018,7 June 2018,"483,015","Email addresses, IP addresses, Passwords, Usernames"
CrimeAgency vBulletin Hacks,19 January 2017,21 March 2017,"942,044","Email addresses, Passwords, Usernames"
Cross Fire,8 August 2016,28 December 2016,"12,865,609","Email addresses, Passwords, Usernames"
CTARS,21 May 2021,31 May 2022,"12,314","Dates of birth, Email addresses, Genders, Names, Passwords, Personal health data, Phone numbers, Physical addresses, Salutations, Usernames"
CyberServe,29 October 2021,4 November 2021,"1,107,034","Dates of birth, Drinking habits, Email addresses, Family structure, Genders, Geographic locations, HIV statuses, IP addresses, Names, Passwords, Personal health data, Phone numbers, Physical attributes, Private messages, Profile photos, Religions, Sexual orientations, Smoking habits, Usernames"
D3Scene,1 January 2016,15 June 2019,"568,827","Email addresses, IP addresses, Passwords, Usernames"
DaFont,16 May 2017,18 May 2017,"637,340","Email addresses, Passwords, Usernames"
Daily Quiz,13 January 2021,21 May 2021,"8,032,404","Email addresses, IP addresses, Passwords, Usernames"
Dailymotion,20 October 2016,7 August 2017,"85,176,234","Email addresses, Passwords, Usernames"
DailyObjects,1 January 2018,28 January 2020,"464,260","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Dangdang,1 June 2011,10 January 2019,"4,848,734",Email addresses
DaniWeb,1 December 2015,28 December 2016,"1,131,636","Email addresses, IP addresses, Passwords"
Data & Leads,14 November 2018,28 November 2018,"44,320,330","Email addresses, Employers, IP addresses, Job titles, Names, Phone numbers, Physical addresses"
Data Enrichment Exposure From PDL Customer,16 October 2019,22 November 2019,"622,161,052","Email addresses, Employers, Geographic locations, Job titles, Names, Phone numbers, Social media profiles"
Data Enrichment Records,23 December 2016,8 June 2017,"8,176,132","Buying preferences, Charitable donations, Credit status information, Dates of birth, Email addresses, Family structure, Financial investments, Home ownership statuses, Income levels, Job titles, Marital statuses, Names, Net worths, Phone numbers, Physical addresses, Political donations"
DataCamp,30 January 2017,9 April 2019,"760,561","Email addresses, Geographic locations, IP addresses, Names, Passwords"
DatPiff,25 August 2021,4 January 2022,"7,476,940","Email addresses, Passwords, Security questions and answers, Usernames"
Dave,28 June 2020,27 July 2020,"2,964,182","Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Social security numbers"
