Website Name,Breach Date,Date Added to HIBP,Compromised Accounts,Compromised Data
Qatar National Bank,1 July 2015,1 May 2016,"88,678","Bank account numbers, Customer feedback, Dates of birth, Financial transactions, Genders, Geographic locations, Government issued IDs, IP addresses, Marital statuses, Names, Passwords, Phone numbers, Physical addresses, PINs, Security questions and answers, Spoken languages"
QIP,1 June 2011,8 January 2017,"26,183,992","Email addresses, Passwords, Usernames, Website activity"
Quantum Booter,18 March 2014,4 April 2015,"48,592","Email addresses, IP addresses, Passwords, Private messages, Usernames, Website activity"
QuestionPro,21 May 2022,5 August 2022,"22,229,637","Browser user agent details, Email addresses, IP addresses, Survey results"
Quidd,1 July 2019,24 June 2020,"3,805,863","Email addresses, Passwords, Usernames"
QuinStreet,14 December 2015,17 December 2016,"4,907,802","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
R2 (2017 forum breach),1 January 2017,25 April 2017,"1,023,466","Email addresses, Passwords, Usernames, Website activity"
R2Games,1 November 2015,9 February 2016,"22,281,337","Email addresses, IP addresses, Passwords, Usernames"
RaidForums,24 September 2020,31 May 2023,"478,604","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Rambler,1 March 2014,1 November 2016,"91,436,280","Email addresses, Passwords, Usernames"
RankWatch,19 November 2016,3 November 2017,"7,445,067","Email addresses, Employers, Job titles, Names, Phone numbers"
Raychat,31 January 2021,4 July 2021,"938,981","Browser user agent details, Email addresses, IP addresses, Names, Passwords"
Rbx.Rocks,6 August 2018,7 November 2018,"149,958","Email addresses, Names, Passwords"
Read Novel,1 May 2019,16 May 2022,"22,424,472","Email addresses, Genders, Passwords, Phone numbers, Usernames"
Real Estate Mogul,6 September 2016,24 September 2018,"307,768","Email addresses, Names, Phone numbers, Physical addresses"
RealDudesInc,22 October 2022,19 February 2023,"101,543","Email addresses, Passwords, Usernames"
RedDoorz,4 September 2020,28 January 2022,"5,890,277","Dates of birth, Email addresses, Genders, Names, Occupations, Passwords, Phone numbers"
RedLine Stealer,5 December 2021,30 December 2021,"441,657","Email addresses, Passwords, Usernames"
Regpack,20 May 2016,13 September 2016,"104,977","Browser user agent details, Credit card CVV, Email addresses, IP addresses, Names, Partial credit card data, Phone numbers, Physical addresses, Purchases"
Reincubate,11 May 2017,29 October 2020,"616,146","Email addresses, Names, Passwords"
RentoMojo,15 April 2023,10 May 2023,"2,185,697","Dates of birth, Email addresses, Genders, Government issued IDs, Names, Passport numbers, Passwords, Phone numbers, Purchases, Social media profiles"
Republican Party of Texas,11 September 2021,6 October 2021,"72,596","Browser user agent details, Email addresses, Geographic locations, IP addresses, Names"
Retina-X,23 February 2017,30 April 2017,"71,153","Email addresses, Passwords"
ReverbNation,1 January 2014,5 October 2017,"7,040,725","Email addresses, Passwords"
River City Media Spam List,1 January 2017,8 March 2017,"393,430,309","Email addresses, IP addresses, Names, Physical addresses"
Robinhood,3 November 2021,3 March 2022,"5,003,937",Email addresses
Roll20,26 December 2018,19 July 2019,"3,994,436","Email addresses, IP addresses, Names, Partial credit card data, Passwords"
Romwe,1 June 2018,18 January 2021,"19,531,820","Geographic locations, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
Rosebutt Board,9 May 2016,10 May 2016,"107,303","Email addresses, IP addresses, Passwords, Usernames"
Royal Enfield,1 January 2019,31 March 2022,"420,873","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Social media profiles, Vehicle details"
Russian America,1 January 2017,13 September 2018,"182,717","Email addresses, Names, Passwords, Phone numbers"
SaverSpy,18 September 2018,25 September 2018,"2,457,420","Email addresses, Genders, Names, Physical addresses"
SC Daily Phone Spam List,14 April 2015,24 November 2016,"32,939,105","Dates of birth, Email addresses, Genders, IP addresses, Names, Physical addresses"
Scentbird,22 June 2020,30 July 2020,"5,814,988","Dates of birth, Email addresses, Genders, Names, Password strengths, Passwords"
School District 42,15 January 2023,2 February 2023,"18,850","Email addresses, Names"
Seedpeer,12 July 2015,9 March 2016,"281,924","Email addresses, Passwords, Usernames"
Sephora,9 January 2017,6 October 2019,"780,073","Dates of birth, Email addresses, Ethnicities, Genders, Names, Physical attributes"
ServerPact,1 January 2016,6 September 2016,"73,587","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Shadi.com,9 July 2016,20 July 2022,"2,021,984","Email addresses, Passwords"
ShareThis,9 July 2018,3 March 2019,"40,960,499","Dates of birth, Email addresses, Names, Passwords"
SHEIN,1 June 2018,17 July 2019,"39,086,762","Email addresses, Passwords"
Shitexpress,8 August 2022,16 August 2022,"23,817","Email addresses, IP addresses, Names, Physical addresses, Private messages, Purchases"
ShockGore,11 August 2020,20 January 2022,"73,944","Email addresses, Genders, IP addresses, Passwords, Private messages, Usernames"
ShopBack,17 September 2020,25 April 2021,"20,529,819","Email addresses, Geographic locations, Names, Passwords, Phone numbers"
Shopper+,14 September 2020,11 March 2023,"878,290","Dates of birth, Email addresses, Genders, Names, Phone numbers, Physical addresses, Spoken languages"
Short Édition,26 June 2021,19 July 2021,"505,466","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Social media profiles, Usernames"
Shotbow,9 May 2016,29 October 2017,"1,052,753","Email addresses, Passwords, Usernames"
SirHurt,23 April 2021,24 May 2022,"90,655","Email addresses, IP addresses, Passwords, Usernames"
SitePoint,20 June 2020,17 August 2022,"1,021,790","Bios, Email addresses, IP addresses, Names, Passwords, Usernames"
SkTorrent,19 February 2016,23 February 2016,"117,070","Email addresses, Passwords, Usernames"
Slickwraps,16 February 2020,22 February 2020,"857,611","Email addresses, Names, Phone numbers, Physical addresses, Purchases"
SlideTeam,6 April 2021,7 January 2023,"1,464,271","Email addresses, Names, Passwords"
Smogon,10 September 2017,11 April 2018,"386,489","Email addresses, Genders, Geographic locations, Passwords, Usernames, Website activity"
Snail,14 March 2015,27 July 2019,"1,410,899","Email addresses, IP addresses, Passwords, Usernames"
Snapchat,1 January 2014,2 January 2014,"4,609,615","Geographic locations, Phone numbers, Usernames"
Social Engineered,13 June 2019,23 June 2019,"89,392","Email addresses, IP addresses, Passwords, Private messages, Usernames"
Società Italiana degli Autori ed Editori,3 November 2018,7 November 2018,"14,609","Email addresses, IP addresses, Names, Passwords, Phone numbers"
Sonicbids,30 December 2019,18 August 2020,"751,700","Email addresses, Names, Passwords, Usernames"
Sony,2 June 2011,4 December 2013,"37,103","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Usernames"
Soundwave,16 July 2015,17 March 2017,"130,705","Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords, Social connections"
Special K Data Feed Spam List,7 October 2015,24 November 2016,"30,741,620","Dates of birth, Email addresses, Genders, IP addresses, Names, Physical addresses"
Spirol,22 February 2014,22 February 2014,"55,622","Email addresses, Employers, Job titles, Names, Phone numbers, Physical addresses"
SpyFone,16 August 2018,24 August 2018,"44,109","Audio recordings, Browsing histories, Device information, Email addresses, Geographic locations, IMEI numbers, IP addresses, Names, Passwords, Photos, SMS messages"
Staminus,11 March 2016,5 October 2017,"26,815","Credit cards, Email addresses, IP addresses, Passwords, Support tickets, Usernames"
StarNet,26 February 2015,11 April 2015,"139,395","Customer interactions, Dates of birth, Email addresses, Genders, IP addresses, MAC addresses, Names, Passport numbers, Passwords, Phone numbers"
START,1 June 2021,30 August 2022,"7,455,386","Email addresses, Geographic locations, Names, Passwords"
StarTribune,10 October 2019,30 October 2020,"2,192,857","Dates of birth, Email addresses, Genders, Names, Passwords, Physical addresses, Usernames"
Ster-Kinekor,9 March 2017,13 March 2017,"1,619,544","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Spoken languages"
StockX,26 July 2019,10 August 2019,"6,840,339","Email addresses, Names, Passwords, Physical addresses, Purchases, Usernames"
StoryBird,7 August 2015,2 February 2021,"1,047,200","Email addresses, Names, Passwords, Usernames"
Straffic,14 February 2020,27 February 2020,"48,580,249","Email addresses, Genders, Names, Phone numbers, Physical addresses"
Stratfor,24 December 2011,4 December 2013,"859,777","Credit cards, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
StreetEasy,28 June 2016,6 October 2019,"988,230","Email addresses, Names, Passwords, Usernames"
Stripchat,5 November 2021,31 August 2022,"10,001,355","Email addresses, IP addresses, Usernames"
Stronghold Kingdoms,4 July 2018,21 July 2019,"5,187,305","Email addresses, Passwords, Usernames"
SubaGames,1 November 2016,25 August 2021,"6,137,666","Email addresses, Passwords, Usernames"
Sumo Torrent,21 June 2014,9 March 2016,"285,191","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Sundry Files,21 January 2022,31 March 2023,"274,461","Email addresses, IP addresses, Passwords, Usernames"
SuperVPN & GeckoVPN,25 February 2021,28 February 2021,"20,339,937","Device information, Device serial numbers, Email addresses, Geographic locations, IMSI numbers, Login histories"
SvenskaMagic,1 July 2015,30 August 2018,"30,327","Email addresses, Passwords, Usernames"
SweClockers.com,1 April 2015,22 March 2017,"254,867","Email addresses, Passwords, Usernames"
Swvl,23 June 2020,31 July 2020,"4,195,918","Email addresses, Names, Partial credit card data, Passwords, Phone numbers, Profile photos"
TaiLieu,24 November 2019,3 May 2020,"7,327,477","Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords, Phone numbers, Usernames"
Tamodo,28 February 2020,24 March 2020,"494,945","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords"
Taobao,1 January 2012,8 October 2016,"21,149,008","Email addresses, Passwords"
TAP Air Portugal,25 August 2022,23 September 2022,"6,083,479","Dates of birth, Email addresses, Genders, Names, Nationalities, Phone numbers, Physical addresses, Salutations, Spoken languages"
Taringa,1 August 2017,19 April 2018,"27,971,100","Email addresses, Passwords, Usernames"
Team SoloMid,22 December 2014,9 March 2016,"442,166","Email addresses, IP addresses, Passwords, Usernames"
Technic,30 November 2018,4 December 2018,"265,410","Chat logs, Email addresses, IP addresses, Passwords, Private messages, Time zones"
Teespring,1 April 2020,25 June 2021,"8,234,193","Email addresses, Geographic locations, Names, Social media profiles"
Telecom Regulatory Authority of India,27 April 2015,27 April 2015,"107,776","Email addresses, Email messages"
Teracod,28 May 2016,22 August 2016,"97,151","Avatars, Email addresses, IP addresses, Passwords, Payment histories, Private messages, Usernames, Website activity"
Terravision,1 February 2023,23 April 2023,"2,075,625","Dates of birth, Email addresses, Geographic locations, Names, Passwords, Phone numbers"
Tesco,12 February 2014,13 February 2014,"2,239","Email addresses, Passwords, Reward program balances"
TGBUS,1 September 2017,28 April 2018,"10,371,766","Email addresses, Passwords, Usernames"
The Candid Board,3 September 2015,22 January 2017,"178,201","Dates of birth, Email addresses, Geographic locations, IP addresses, Passwords, Usernames, Website activity"
The Fappening,1 December 2015,13 April 2016,"179,030","Email addresses, Passwords, Usernames"
The Fly on the Wall,31 December 2017,15 January 2018,"84,011","Age groups, Credit cards, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Purchases, Usernames"
The Halloween Spot,27 September 2019,16 March 2020,"10,653","Email addresses, IP addresses, Names, Phone numbers, Physical addresses, Purchases"
The Kodi Foundation,16 February 2023,13 April 2023,"400,635","Browser user agent details, Dates of birth, Email addresses, IP addresses, Passwords, Private messages, Usernames"
TheGradCafe,26 February 2023,24 March 2023,"310,975","Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
TheTVDB.com,21 November 2017,29 January 2018,"181,871","Email addresses, Passwords, Usernames"
Thingiverse,13 October 2020,14 October 2021,"228,102","Dates of birth, Email addresses, IP addresses, Names, Passwords, Physical addresses, Usernames"
ThisHabbo Forum,1 January 2014,28 March 2015,"612,414","Email addresses, IP addresses, Passwords, Usernames"
Tianya,26 December 2011,30 June 2016,"29,020,808","Email addresses, Names, Usernames"
Ticketcounter,22 February 2021,1 March 2021,"1,921,722","Bank account numbers, Dates of birth, Email addresses, Genders, IP addresses, Names, Payment histories, Phone numbers, Physical addresses"
Ticketfly,31 May 2018,3 June 2018,"26,151,608","Email addresses, Names, Phone numbers, Physical addresses"
Tokopedia,17 April 2020,2 May 2020,"71,443,698","Dates of birth, Email addresses, Genders, Names, Passwords"
ToonDoo,21 August 2019,11 November 2019,"6,002,694","Email addresses, Genders, Geographic locations, IP addresses, Passwords, Usernames"
Torrent Invites,12 December 2013,22 March 2017,"352,120","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
Tout,11 September 2014,25 January 2020,"652,683","Bios, Email addresses, Geographic locations, IP addresses, Names, Passwords, Usernames"
Travel Oklahoma,17 December 2020,10 March 2021,"637,279","Age groups, Dates of birth, Email addresses, Genders, Names, Physical addresses"
Travelio,23 November 2021,8 April 2022,"471,376","Auth tokens, Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Trik Spam Botnet,12 June 2018,14 June 2018,"43,432,346",Email addresses
Trillian,27 December 2015,15 July 2016,"3,827,238","Dates of birth, Email addresses, IP addresses, Names, Passwords, Usernames"
TruckersMP,25 February 2016,24 April 2016,"83,957","Email addresses, Passwords, Usernames"
TrueFire,21 February 2020,2 August 2020,"599,667","Account balances, Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
Truth Finder,12 April 2019,4 February 2023,"8,159,573","Email addresses, Names, Passwords, Phone numbers"
tumblr,28 February 2013,29 May 2016,"65,469,298","Email addresses, Passwords"
Tuned Global,16 March 2016,3 August 2022,"985,586","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Twitter,1 January 2022,13 August 2022,"6,682,453","Bios, Email addresses, Geographic locations, Names, Phone numbers, Profile photos, Usernames"
Twitter (200M),1 January 2021,5 January 2023,"211,524,284","Email addresses, Names, Social media profiles, Usernames"
Uiggy,1 June 2016,27 June 2016,"2,682,650","Email addresses, Genders, Names, Social connections, Website activity"
Ulmon,26 January 2020,8 May 2020,"777,769","Bios, Email addresses, Names, Passwords, Phone numbers, Social media profiles"
UN Internet Governance Forum,20 February 2014,23 February 2014,"3,200","Email addresses, Names, Passwords, Usernames"
Underworld Empire,25 April 2017,19 February 2018,"428,779","Email addresses, IP addresses, Passwords, Usernames"
Unico Campania,19 August 2020,19 August 2020,"166,031","Email addresses, Passwords"
Universarium,1 November 2019,3 January 2020,"564,962","Email addresses, Passwords"
University of California,24 December 2020,20 June 2021,"547,422","Dates of birth, Education levels, Email addresses, Ethnicities, Genders, Job titles, Names, Phone numbers, Physical addresses, Social security numbers"
Unreal Engine,11 August 2016,7 November 2016,"530,147","Email addresses, Passwords, Usernames"
Unverified Data Source,26 January 2021,24 March 2021,"11,498,146","Bank account numbers, Credit status information, Dates of birth, Email addresses, Employers, Health insurance information, Income levels, IP addresses, Names, Personal health data, Phone numbers, Physical addresses, Smoking habits, Social security numbers"
Upstox,8 April 2021,19 January 2022,"111,002","Bank account numbers, Dates of birth, Email addresses, Family members' names, Genders, Government issued IDs, Income levels, Marital statuses, Nationalities, Occupations, Passwords, Phone numbers, Physical addresses"
Utah Gun Exchange,17 July 2020,19 August 2020,"235,233","Email addresses, Genders, IP addresses, Passwords, Usernames"
uTorrent,14 January 2016,5 November 2016,"395,044","Email addresses, Passwords, Usernames"
uuu9,6 September 2016,27 December 2016,"7,485,802","Email addresses, Passwords, Usernames"
Vakinha,22 June 2020,1 August 2020,"4,775,203","Dates of birth, Email addresses, IP addresses, Names, Passwords, Phone numbers"
Vastaamo,31 March 2019,17 July 2021,"30,433","Email addresses, Names, Personal health data, Social security numbers"
vBulletin,3 November 2015,24 January 2016,"518,966","Dates of birth, Email addresses, Homepage URLs, Instant messenger identities, IP addresses, Passwords, Security questions and answers, Spoken languages, Website activity"
Vedantu,8 July 2019,1 November 2019,"686,899","Browser user agent details, Email addresses, Genders, IP addresses, Names, Passwords, Phone numbers, Spoken languages, Time zones, Website activity"
Verifications.io,25 February 2019,9 March 2019,"763,117,241","Dates of birth, Email addresses, Employers, Genders, Geographic locations, IP addresses, Job titles, Names, Phone numbers, Physical addresses"
Verified,10 January 2014,6 July 2014,"16,919","Email addresses, Historical passwords, IP addresses, Passwords, Private messages, Usernames, Website activity"
Vianet,8 April 2020,22 April 2020,"94,353","Email addresses, Names, Phone numbers, Physical addresses"
Victory Phones,1 January 2017,11 October 2017,"166,046","Dates of birth, Email addresses, IP addresses, Names, Phone numbers, Physical addresses"
ViewFines,7 May 2018,24 May 2018,"777,649","Email addresses, Government issued IDs, Names, Passwords, Phone numbers"
VK,1 January 2012,9 June 2016,"93,338,602","Email addresses, Names, Passwords, Phone numbers"
VNG,19 May 2015,28 April 2018,"24,853,850","Dates of birth, Email addresses, Genders, IP addresses, Marital statuses, Names, Occupations, Passwords, Phone numbers, Physical addresses, Usernames"
Vodafone,30 November 2013,30 November 2013,"56,021","Credit cards, Email addresses, Government issued IDs, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Purchases, SMS messages, Usernames"
Void.to,13 June 2019,11 September 2019,"95,431","Email addresses, IP addresses, Passwords, Private messages, Usernames"
VTech,13 November 2015,25 November 2015,"4,833,678","Dates of birth, Email addresses, Family members' names, Genders, IP addresses, Names, Passwords, Physical addresses, Security questions and answers, Usernames, Website activity"
V-Tight Gel,13 February 2016,17 November 2017,"2,013,164","Email addresses, IP addresses, Names, Phone numbers, Physical addresses"
Wakanim,28 August 2022,6 October 2022,"6,706,951","Browser user agent details, Email addresses, IP addresses, Names, Physical addresses, Usernames"
Wanelo,13 December 2018,30 September 2019,"23,165,793","Email addresses, IP addresses, Names, Passwords, Physical addresses"
War Inc.,4 July 2012,7 November 2016,"1,020,136","Email addresses, Passwords, Usernames, Website activity"
Warframe,24 November 2014,21 July 2016,"819,478","Email addresses, Usernames, Website activity"
Warmane,1 December 2016,8 September 2018,"1,116,256","Dates of birth, Email addresses, Passwords, Usernames"
Wattpad,29 June 2020,19 July 2020,"268,765,495","Bios, Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Social media profiles, User website URLs, Usernames"
We Heart It,3 November 2013,14 October 2017,"8,600,635","Email addresses, Passwords, Usernames"
WedMeGood,6 January 2021,13 May 2021,"1,306,723","Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses"
Weee,11 July 2022,8 February 2023,"1,117,405","Delivery instructions, Email addresses, Names, Phone numbers, Purchases"
WeLeakInfo,8 March 2021,15 March 2021,"11,788","Browser user agent details, Email addresses, Employers, IP addresses, Names, Partial credit card data, Physical addresses, Purchases"
Wendy's,31 March 2018,24 May 2022,"52,485","Education levels, Email addresses, IP addresses, Job applications, Names, Passwords, Phone numbers, Physical addresses"
Whitepages,27 June 2016,27 March 2019,"11,657,763","Email addresses, Names, Passwords"
WHMCS,21 May 2012,28 June 2016,"134,047","Email addresses, Email messages, Employers, IP addresses, Names, Partial credit card data, Passwords, Payment histories, Physical addresses, Website activity"
Wiener Büchereien,10 June 2019,28 June 2019,"224,119","Dates of birth, Email addresses, Names, Phone numbers, Physical addresses"
Wife Lovers,7 October 2018,20 October 2018,"1,274,051","Email addresses, IP addresses, Names, Passwords, Usernames"
WIIU ISO,25 September 2015,6 September 2016,"458,155","Email addresses, IP addresses, Passwords, Usernames"
WildStar,11 July 2015,6 March 2016,"738,556","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Win7Vista Forum,3 September 2013,1 June 2014,"202,683","Email addresses, Instant messenger identities, IP addresses, Names, Passwords, Private messages, Usernames, Website activity"
Wishbone (2016),7 August 2016,15 March 2017,"2,247,314","Auth tokens, Dates of birth, Email addresses, Genders, Names, Phone numbers, Usernames"
Wishbone (2020),27 January 2020,28 May 2020,"9,705,172","Auth tokens, Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Profile photos, Social media profiles, Usernames"
WiziShop,14 July 2020,5 October 2020,"2,856,769","Dates of birth, Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
Wongnai,28 October 2020,4 November 2020,"3,924,454","Dates of birth, Email addresses, Geographic locations, IP addresses, Names, Passwords, Phone numbers, Social media profiles"
WPSandbox,4 November 2018,6 November 2018,858,"Email addresses, Passwords"
WPT Amateur Poker League,4 January 2014,1 February 2014,"148,366","Email addresses, Passwords"
xat,4 November 2015,5 August 2016,"5,968,783","Email addresses, IP addresses, Passwords, Usernames, Website activity"
Xbox 360 ISO,25 September 2015,29 January 2017,"1,296,959","Email addresses, IP addresses, Passwords, Usernames"
Xbox-Scene,1 February 2015,7 February 2016,"432,552","Email addresses, IP addresses, Passwords, Usernames"
xHamster,28 November 2016,8 March 2018,"377,377","Email addresses, Passwords, Usernames"
Xiaomi,1 August 2012,21 July 2019,"7,088,010","Email addresses, IP addresses, Passwords, Usernames"
XKCD,1 July 2019,1 September 2019,"561,991","Email addresses, IP addresses, Passwords, Usernames"
XPG,1 January 2016,1 July 2017,"890,341","Email addresses, IP addresses, Passwords, Usernames"
XSplit,7 November 2013,8 August 2015,"2,983,472","Email addresses, Names, Passwords, Usernames"
Yahoo,11 July 2012,4 December 2013,"453,427","Email addresses, Passwords"
Yam,2 June 2013,22 May 2021,"13,258,797","Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
Yandex Dump,7 September 2014,12 September 2014,"1,186,564","Email addresses, Passwords"
Yatra,1 September 2013,4 July 2018,"5,033,997","Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses, PINs"
yotepresto.com,22 June 2020,25 June 2021,"1,444,629","Email addresses, IP addresses, Passwords, Usernames"
Youku,1 December 2016,15 April 2017,"91,890,110","Email addresses, Passwords"
YouNow,15 February 2019,18 July 2019,"18,241,518","Email addresses, IP addresses, Names, Social media profiles, Usernames"
YouPorn,21 February 2012,30 July 2015,"1,327,567","Email addresses, Passwords"
You've Been Scraped,5 October 2018,6 December 2018,"66,147,869","Email addresses, Employers, Geographic locations, Job titles, Names, Social media profiles"
Zacks,10 May 2020,10 June 2023,"8,929,503","Email addresses, Names, Passwords, Phone numbers, Physical addresses, Usernames"
ZAP-Hosting,22 November 2021,19 March 2022,"746,682","Browser user agent details, Chat logs, Email addresses, IP addresses, Names, Phone numbers, Physical addresses, Purchases"
Zhenai.com,21 December 2011,11 July 2019,"5,024,908","Email addresses, Passwords"
Zomato,17 May 2017,4 September 2017,"16,472,873","Email addresses, Passwords, Usernames"
Zoomcar,1 July 2018,5 June 2020,"3,589,795","Email addresses, IP addresses, Names, Passwords, Phone numbers"
Zoosk (2011),1 January 2011,8 February 2017,"52,578,183","Email addresses, Passwords"
Zoosk (2020),12 January 2020,7 August 2020,"23,927,853","Dates of birth, Drinking habits, Education levels, Email addresses, Ethnicities, Family structure, Genders, Geographic locations, Income levels, Names, Nicknames, Physical attributes, Political views, Relationship statuses, Religions, Sexual orientations, Smoking habits"
Zooville,27 September 2019,19 October 2019,"71,407","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Zurich,8 January 2023,22 January 2023,"756,737","Dates of birth, Email addresses, Genders, Names, Vehicle details"
Zynga,1 September 2019,19 December 2019,"172,869,660","Email addresses, Passwords, Phone numbers, Usernames"
Пара Па,8 August 2016,28 December 2016,"4,946,850","Email addresses, Passwords, Usernames"
Спрашивай.ру,11 May 2015,12 May 2015,"3,474,763","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Spoken languages"
집꾸미기,27 March 2020,2 August 2020,"1,298,651","Email addresses, Names, Phone numbers, Usernames"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
